municipality_code,municipality_name,municipality_type,district_name,subdistrict_name,cluster,total_population,num_localities,localities
1286,שגב-שלום,מועצה מקומית,הדרום,באר שבע,אשכול רשויות נגב מזרחי,15406,1,"[{""locality_code"": 1286, ""locality_name_he"": ""שגב-שלום"", ""locality_name_en"": ""Segev-Shalom"", ""population"": 15406}]"
1304,שוהם,מועצה מקומית,המרכז,רמלה,ללא שיוך לאשכול,23447,1,"[{""locality_code"": 1304, ""locality_name_he"": ""שוהם"", ""locality_name_en"": ""Shoham"", ""population"": 23447}]"
812,שלומי,מועצה מקומית,הצפון,עכו,אשכול רשויות גליל מערבי,8130,1,"[{""locality_code"": 812, ""locality_name_he"": ""שלומי"", ""locality_name_en"": ""Shelomi"", ""population"": 8130}]"
538,שעב,מועצה מקומית,הצפון,עכו,ללא שיוך לאשכול,7645,1,"[{""locality_code"": 538, ""locality_name_he"": ""שעב"", ""locality_name_en"": ""Sha'ab"", ""population"": 7645}]"
3826,שער שומרון,מועצה מקומית,אזור יהודה ושומרון,טול כרם,אשכול יהודה ושומרון,8839,1,"[{""locality_code"": 3826, ""locality_name_he"": ""שער שומרון"", ""locality_name_en"": ""Sha'ar Shomron"", ""population"": 8839}]"
154,תל מונד,מועצה מקומית,המרכז,השרון,אשכול רשויות השרון,14591,1,"[{""locality_code"": 154, ""locality_name_he"": ""תל מונד"", ""locality_name_en"": ""Tel Mond"", ""population"": 14591}]"
1054,תל שבע,מועצה מקומית,הדרום,באר שבע,אשכול רשויות נגב מזרחי,24195,1,"[{""locality_code"": 1054, ""locality_name_he"": ""תל שבע"", ""locality_name_en"": ""Tel Sheva"", ""population"": 24195}]"
2710,אום אל-פחם,עירייה,חיפה,חדרה,ללא שיוך לאשכול,59319,1,"[{""locality_code"": 2710, ""locality_name_he"": ""אום אל-פחם"", ""locality_name_en"": ""Umm al-Fahm"", ""population"": 59319}]"
31,אופקים,עירייה,הדרום,באר שבע,אשכול רשויות נגב מערבי,37837,1,"[{""locality_code"": 31, ""locality_name_he"": ""אופקים"", ""locality_name_en"": ""Ofaqim"", ""population"": 37837}]"
2400,אור יהודה,עירייה,תל אביב,תל אביב,ללא שיוך לאשכול,40143,1,"[{""locality_code"": 2400, ""locality_name_he"": ""אור יהודה"", ""locality_name_en"": ""Or Yehuda"", ""population"": 40143}]"
1020,אור עקיבא,עירייה,חיפה,חדרה,ללא שיוך לאשכול,24203,1,"[{""locality_code"": 1020, ""locality_name_he"": ""אור עקיבא"", ""locality_name_en"": ""Or Aqiva"", ""population"": 24203}]"
2600,אילת,עירייה,הדרום,באר שבע,ללא שיוך לאשכול,57339,1,"[{""locality_code"": 2600, ""locality_name_he"": ""אילת"", ""locality_name_en"": ""Elat"", ""population"": 57339}]"
1309,אלעד,עירייה,המרכז,פתח תקווה,ללא שיוך לאשכול,49766,1,"[{""locality_code"": 1309, ""locality_name_he"": ""אלעד"", ""locality_name_en"": ""El'ad"", ""population"": 49766}]"
3570,אריאל,עירייה,אזור יהודה ושומרון,טול כרם,ללא שיוך לאשכול,21841,1,"[{""locality_code"": 3570, ""locality_name_he"": ""אריאל"", ""locality_name_en"": ""Ari'el"", ""population"": 21841}]"
70,אשדוד,עירייה,הדרום,אשקלון,ללא שיוך לאשכול,229173,1,"[{""locality_code"": 70, ""locality_name_he"": ""אשדוד"", ""locality_name_en"": ""Ashdod"", ""population"": 229173}]"
7100,אשקלון,עירייה,הדרום,אשקלון,ללא שיוך לאשכול,161744,1,"[{""locality_code"": 7100, ""locality_name_he"": ""אשקלון"", ""locality_name_en"": ""Ashqelon"", ""population"": 161744}]"
6000,באקה אל-גרביה,עירייה,חיפה,חדרה,ללא שיוך לאשכול,30750,1,"[{""locality_code"": 6000, ""locality_name_he"": ""באקה אל-גרביה"", ""locality_name_en"": ""Baqa Al-Gharbiyye"", ""population"": 30750}]"
2530,באר יעקב,עירייה,המרכז,רמלה,ללא שיוך לאשכול,34601,1,"[{""locality_code"": 2530, ""locality_name_he"": ""באר יעקב"", ""locality_name_en"": ""Be'er Ya'aqov"", ""population"": 34601}]"
9000,באר שבע,עירייה,הדרום,באר שבע,ללא שיוך לאשכול,218995,1,"[{""locality_code"": 9000, ""locality_name_he"": ""באר שבע"", ""locality_name_en"": ""Be'er Sheva"", ""population"": 218995}]"
9200,בית שאן,עירייה,הצפון,יזרעאל,אשכול רשויות הכנרת והעמקים,20249,1,"[{""locality_code"": 9200, ""locality_name_he"": ""בית שאן"", ""locality_name_en"": ""Bet She'an"", ""population"": 20249}]"
2610,בית שמש,עירייה,ירושלים,ירושלים,ללא שיוך לאשכול,167318,1,"[{""locality_code"": 2610, ""locality_name_he"": ""בית שמש"", ""locality_name_en"": ""Bet Shemesh"", ""population"": 167318}]"
3780,ביתר עילית,עירייה,אזור יהודה ושומרון,בית לחם,ללא שיוך לאשכול,69281,1,"[{""locality_code"": 3780, ""locality_name_he"": ""ביתר עילית"", ""locality_name_en"": ""Betar Illit"", ""population"": 69281}]"
